time(millisecond),datetime(utc),aligned_time_s,aligned_phase,ideal_flight_phase,original_time(millisecond),original_datetime(utc),original_height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),original_altitude_above_seaLevel(feet),original_height_sonar(feet),original_speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),original_zSpeed(mph),compass_heading(degrees),original_pitch(degrees),original_roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),original_altitude(feet),original_ascent(feet),flycStateRaw,flycState,height_above_takeoff(feet),height_above_takeoff(m),ascent(feet),altitude(feet),altitude_above_seaLevel(feet),height_sonar(feet),zSpeed(mph),speed(mph),pitch(degrees),roll(degrees),estimated_pack_voltage(V),estimated_power(W)
0,2026-05-09 10:19:28.000,0.0,0.0,ground,52900,2026-05-09 10:20:25,0.0,Available with any HD 360 subscription,Available with any HD 360 subscription,-9.863457664712,0.328084,0.0,0.0,0.0,14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.2,6.6,-1.4,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
110,2026-05-09 10:19:28.110,0.11043841336116911,0.0020876826722338207,ground,53000,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.00056141405996,0.00056141405996,14,5,0.0,0.0,0.0,0.0,0.00056141405996,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
221,2026-05-09 10:19:28.220,0.22087682672233822,0.004175365344467641,ground,53100,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.0039192586556,0.0044815946316,14,5,0.0,0.0,0.0,0.0,0.0039192586556,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
331,2026-05-09 10:19:28.331,0.3313152400835073,0.006263048016701462,ground,53200,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.008348589506,0.0089558401816,14,5,0.0,0.0,0.0,0.0,0.008348589506,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205.0,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
442,2026-05-09 10:19:28.441,0.44175365344467643,0.008350730688935283,ground,53300,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.0098927496604,0.0271962279044,14,5,0.0,0.0,0.0,0.0,0.0098927496604,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
552,2026-05-09 10:19:28.552,0.5521920668058455,0.010438413361169102,ground,53400,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.003821030306,0.035545276728,14,5,0.0,0.0,0.0,0.0,0.0098927496604,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
663,2026-05-09 10:19:28.662,0.6626304801670146,0.012526096033402923,ground,53500,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.0032508695266,0.037585631124,15,5,0.0,0.0,0.0,0.0,0.0098927496604,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
773,2026-05-09 10:19:28.773,0.7730688935281836,0.014613778705636743,ground,53600,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.0163260175828,0.050757547556,15,5,0.0,0.0,0.0,0.0,0.0163260175828,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
884,2026-05-09 10:19:28.883,0.8835073068893529,0.016701461377870565,ground,53700,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.0201862211184,0.0550771015,15,5,0.0,0.0,0.0,0.0,0.0201862211184,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
994,2026-05-09 10:19:28.993,0.993945720250522,0.018789144050104387,ground,53800,2026-05-09 10:20:25,0.0,,,-9.863457664712,0.328084,0.0,0.0063804463984,0.072046918316,15,5,0.0,0.0,0.0,0.0,0.0201862211184,0.0,0.0,0.0,210.2,6.6,-1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0.0,77.72,-9.863457664712,0.0,41,Motors_Started,0.0,0.0,0.0,-9.863457664712,-9.863457664712,0.0,0.0,0.0,6.6,-1.4,14.950999999999999,0.0
