time(millisecond),datetime(utc),height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),wind_speed(mph),wind_direction(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState
52900,2026-05-09 10:20:25,0,Available with any HD 360 subscription,Available with any HD 360 subscription,-9.863457664712,0.328084,0,0,0,14,5,0,0,0,0,0,0,0,0,210.2, 6.6, -1.4,Available with Enterprise subscription,,0,0,1024,1024,1024,1024,0,0,0,0,205,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53000,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.00056141405996,0.00056141405996,14,5,0,0,0,0,0.00056141405996,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53100,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.0039192586556,0.0044815946316,14,5,0,0,0,0,0.0039192586556,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53200,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.008348589506,0.0089558401816,14,5,0,0,0,0,0.008348589506,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,205,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53300,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.0098927496604,0.0271962279044,14,5,0,0,0,0,0.0098927496604,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53400,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.003821030306,0.035545276728,14,5,0,0,0,0,0.0098927496604,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53500,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.0032508695266,0.037585631124,15,5,0,0,0,0,0.0098927496604,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53600,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.0163260175828,0.050757547556,15,5,0,0,0,0,0.0163260175828,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53700,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.0201862211184,0.0550771015,15,5,0,0,0,0,0.0201862211184,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
53800,2026-05-09 10:20:25,0,,,-9.863457664712,0.328084,0,0.0063804463984,0.072046918316,15,5,0,0,0,0,0.0201862211184,0,0,0,210.2, 6.6, -1.4,,,0,0,1024,1024,1024,1024,0,0,0,0,204.9,0,0,56,3.738,3.737,3.738,3.738,0,0,0,77.72,-9.863457664712,0,41,Motors_Started
