time_s,mor1,mor2,mor3,mor4,mor5,mor6,mor7,mor8,mor9,mor10,mor11,mor12,noon1,noon2,noon3,noon4,noon5,noon6,noon7,noon8,noon9,noon10,noon11,noon12,eve1,eve2,eve3,eve4,eve5,eve6,eve7,eve8,eve9,eve10,eve11,eve12,normal
0,17.67,16.46,18.16,20.22,16.23,18.1,17.97,16.9,19.63,17.89,16.0,17.55,10.31,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,11.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.01
5,17.67,16.46,18.16,20.22,16.23,18.1,17.97,16.9,19.63,17.89,16.0,17.55,10.31,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,11.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.01
10,18.51,17.24,19.07,20.28,17.32,18.56,19.33,16.65,21.11,18.51,16.27,18.26,10.77,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,11.48,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.85
15,20.84,19.19,21.96,22.11,19.85,20.75,22.41,18.41,23.71,20.57,18.98,20.72,11.73,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,12.28,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.93
20,27.88,24.96,29.76,29.06,26.72,27.58,30.29,24.15,30.94,27.91,26.28,28.05,14.58,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,14.11,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.55,19.06
25,36.86,32.16,39.05,36.89,35.39,36.34,39.94,33.16,39.53,36.86,35.18,37.75,23.75,21.81,22.99,25.84,24.74,23.8,23.84,24.1,25.57,24.87,22.96,22.13,19.12,18.13,20.52,19.08,21.14,21.02,18.41,19.73,19.42,19.38,18.66,22.48,25.55
30,45.37,39.02,46.49,43.45,43.35,43.87,49.09,41.36,48.83,44.65,43.13,46.65,39.8,37.63,38.7,42.97,41.65,39.14,41.54,41.92,43.19,42.01,38.23,37.96,26.91,25.78,28.25,26.6,29.42,29.26,26.23,28.54,26.76,28.17,25.61,31.33,33.8
35,49.04,42.81,48.24,45.83,46.86,46.36,52.77,45.42,54.12,46.62,45.22,50.06,60.16,59.12,57.56,64.4,63.13,57.66,64.76,63.08,66.77,63.48,57.82,57.24,35.82,35.61,36.8,35.33,39.44,38.59,35.58,37.63,35.92,37.44,33.33,41.35,42.6
40,53.38,48.02,50.85,51.17,52.06,49.66,57.59,49.24,61.36,50.47,48.48,54.46,76.38,76.37,71.16,79.49,81.39,71.04,81.83,78.83,82.19,81.66,73.78,72.63,41.87,43.1,44.2,41.1,47.24,45.26,42.08,42.07,42.55,42.09,38.51,49.01,50.95
45,61.57,57.32,58.4,60.46,60.92,58.94,65.33,56.91,72.58,59.38,56.13,62.51,86.26,85.76,79.32,90.73,93.0,79.5,89.5,85.49,90.84,91.25,83.64,79.19,48.0,50.34,52.23,46.58,55.64,52.96,48.68,47.37,48.73,46.09,44.24,56.62,58.64
50,72.66,69.16,71.06,72.57,72.69,72.84,77.0,67.75,85.96,70.93,69.37,73.89,90.54,88.77,83.71,94.83,99.22,82.82,91.54,85.76,94.25,94.84,88.11,84.51,56.57,58.77,63.3,53.96,64.58,63.68,56.82,56.23,56.88,52.23,51.56,68.38,65.71
