time_s,mor1,mor2,mor3,mor4,mor5,mor6,mor7,mor8,mor9,mor10,mor11,mor12,noon1,noon2,noon3,noon4,noon5,noon6,noon7,noon8,noon9,noon10,noon11,noon12,eve1,eve2,eve3,eve4,eve5,eve6,eve7,eve8,eve9,eve10,eve11,eve12,normal
0,275.99,51.21,0.0,176.56,72.44,30.58,184.8,72.62,43.04,250.56,71.6,42.07,198.66,275.64,401.98,249.93,277.68,342.22,279.02,238.59,398.77,292.83,276.73,336.64,0.0,534.28,25.53,70.71,454.06,96.97,65.98,387.74,77.26,57.55,384.13,73.37,212.91
5,275.99,51.21,0.0,176.56,72.44,30.58,184.8,72.62,43.04,250.56,71.6,42.07,198.66,275.64,401.98,249.93,277.68,342.22,279.02,238.59,398.77,292.83,276.73,336.64,0.0,534.28,25.53,70.71,454.06,96.97,65.98,387.74,77.26,57.55,384.13,73.37,212.91
10,391.52,128.02,0.0,241.7,147.54,52.66,304.15,160.3,59.82,340.07,122.92,64.47,307.6,391.03,459.86,372.58,428.53,441.86,356.25,311.02,458.29,435.34,401.56,393.42,0.0,547.64,82.98,85.1,474.15,145.17,67.92,405.92,128.89,69.91,428.34,117.21,238.71
15,468.53,204.84,0.0,330.03,217.77,68.68,371.44,225.57,74.23,387.45,193.39,83.36,410.13,467.95,479.15,467.14,489.38,521.52,429.29,357.11,452.46,522.48,491.05,451.61,0.0,480.85,178.73,84.39,411.59,236.81,63.5,383.88,180.81,74.45,403.72,176.1,232.26
20,430.03,243.25,0.0,332.74,234.66,71.22,332.24,248.1,86.01,354.5,216.68,84.05,429.36,429.49,434.13,445.64,470.08,465.92,485.36,319.26,402.96,460.16,454.16,421.83,12.76,400.71,264.91,87.26,351.06,332.57,75.8,327.93,246.58,81.87,326.04,230.08,200.0
25,295.24,211.24,0.0,209.94,191.66,54.61,226.9,210.27,61.16,260.97,165.59,67.2,352.46,294.87,324.8,379.15,335.48,362.49,394.5,259.8,310.77,377.27,273.2,320.6,57.41,327.25,293.63,128.91,301.74,348.77,115.3,270.51,255.47,111.42,279.69,244.53,180.65
30,141.2,160.03,0.0,108.11,131.54,30.25,122.19,134.99,33.66,129.28,134.19,39.39,217.88,141.03,225.11,224.71,189.29,240.96,239.34,151.01,219.31,246.48,145.31,210.3,159.47,307.21,236.18,204.79,287.74,268.77,184.47,263.22,227.02,173.05,305.08,204.52,212.91
35,44.93,140.83,0.0,43.51,101.41,19.87,48.89,102.03,19.98,54.02,111.85,22.62,102.53,57.69,160.79,111.6,91.14,158.75,115.69,67.22,159.86,126.76,76.0,135.01,293.42,280.5,140.43,292.19,257.78,196.45,262.9,258.75,171.84,250.25,265.69,149.89,283.87
40,6.42,179.23,0.0,22.18,125.02,19.03,25.96,141.86,22.35,28.98,129.43,22.03,32.04,57.69,135.06,52.27,71.78,121.8,53.44,53.29,132.37,54.92,66.97,114.82,408.23,240.43,67.02,370.9,252.71,139.11,318.29,233.52,120.95,289.55,210.99,108.19,354.84
45,0.0,224.04,0.0,22.32,177.79,21.8,26.27,195.75,26.1,29.66,140.72,26.16,6.41,128.21,109.34,34.47,122.8,107.02,34.37,92.64,107.55,37.53,117.21,103.6,427.37,180.32,63.83,395.02,200.07,140.02,326.15,181.82,114.63,311.86,174.54,105.43,374.2
50,0.0,224.04,0.0,22.41,168.49,22.12,25.88,205.21,24.19,25.63,142.43,26.77,0.0,205.13,90.04,31.67,186.11,90.16,36.15,142.28,95.23,39.94,171.3,101.29,363.58,120.21,134.05,314.96,138.31,198.26,303.51,132.07,153.86,279.19,151.78,141.19,335.49
55,0.0,166.43,0.0,15.91,125.67,14.94,17.25,146.11,20.16,17.09,117.89,19.43,0.0,243.59,90.04,37.32,231.03,87.0,43.32,168.99,110.05,46.77,209.4,95.66,274.28,66.78,229.8,232.36,105.2,240.02,237.38,100.93,202.0,236.21,105.43,181.08,238.71
60,6.42,89.62,0.0,12.8,73.23,8.84,14.43,70.68,12.28,13.14,68.93,12.29,0.0,205.13,122.2,42.16,192.76,123.0,43.43,155.72,133.94,47.27,175.83,106.15,261.53,26.71,312.78,261.49,94.09,280.08,218.42,78.38,261.85,232.98,81.13,257.9,135.49
65,32.09,32.01,0.0,25.59,28.63,6.39,29.74,29.88,8.16,26.32,27.76,8.33,0.0,134.62,173.65,39.78,127.23,151.63,40.57,113.73,153.33,41.39,132.06,134.56,325.31,6.68,331.93,324.44,89.21,328.45,251.37,69.1,310.6,267.31,74.46,290.11,51.61
70,89.86,6.4,0.0,59.23,14.71,9.85,70.73,16.06,11.21,72.86,14.22,12.59,6.41,83.33,231.54,39.47,92.41,206.45,49.77,80.43,192.25,47.6,104.91,179.4,414.61,0.0,325.55,392.21,88.72,341.61,321.97,73.43,294.08,303.72,92.01,307.98,12.9
75,173.29,0.0,0.0,109.34,18.9,16.96,125.62,21.9,20.71,129.55,19.18,23.98,32.04,102.57,270.13,65.15,127.26,250.37,88.59,87.79,228.2,71.24,134.82,219.73,427.37,0.0,306.4,387.22,80.11,313.71,340.38,79.89,275.37,287.21,91.46,284.32,0.0
