Time,dcVoltage(V),totalActivePower(W),L1_acCurrent(A),L1_acFrequency(Hz),L1_acVoltage(V),L1_activePower(W),L1_reactivePower(W),L2_acCurrent(A),L2_acFrequency(Hz),L2_acVoltage(V),L2_activePower(W),L2_reactivePower(W),L3_acCurrent(A),L3_acFrequency(Hz),L3_acVoltage(V),L3_activePower(W),L3_reactivePower(W)
2022-06-01 06:00:00,749.0,348.0,1.46875,50.0293,215.703,35.0,-314.0,1.58594,50.028,217.984,142.0,-315.0,2.16406,50.0263,218.047,171.0,-439.0
2022-06-01 06:05:00,748.812,533.0,1.60938,50.025,216.016,145.0,-319.0,1.70312,50.0243,218.312,207.0,-308.0,2.09375,50.0222,218.0,181.0,-420.0
2022-06-01 06:10:00,748.75,763.0,1.78906,50.0215,216.609,229.0,-315.0,1.875,50.0212,219.469,268.0,-310.0,2.20312,50.0212,219.156,266.0,-402.0
2022-06-01 06:15:00,749.062,1049.0,2.07812,50.0037,215.844,334.0,-301.0,2.22656,50.0004,219.359,384.0,-296.0,2.41406,50.0033,217.75,331.0,-410.0
2022-06-01 06:20:00,749.062,1282.0,2.33594,49.9856,214.578,404.0,-303.0,2.48438,49.9881,216.922,457.0,-290.0,2.71094,49.9827,217.234,421.0,-412.0
2022-06-01 06:25:00,748.625,1554.0,2.67188,49.9695,221.688,509.0,-305.0,2.79688,49.9672,224.312,539.0,-315.0,2.89062,49.9699,223.875,506.0,-400.0
2022-06-01 06:30:00,748.5,1813.0,3.00781,49.9967,220.422,590.0,-308.0,3.09375,49.9958,223.406,623.0,-293.0,3.26562,49.9953,222.578,600.0,-412.0
2022-06-01 06:35:00,748.688,2007.0,3.22656,49.9999,223.0,653.0,-316.0,3.29688,50.0006,226.125,687.0,-294.0,3.46094,49.9994,225.75,667.0,-411.0
2022-06-01 06:40:00,748.438,2161.0,3.48438,50.0081,221.109,711.0,-302.0,3.55469,50.0053,224.141,730.0,-309.0,3.72656,50.0066,223.219,720.0,-411.0
2022-06-01 06:45:00,748.5,2289.0,3.69531,50.0249,222.141,760.0,-295.0,3.74219,50.0246,224.938,777.0,-294.0,3.85156,50.0288,224.641,752.0,-412.0
2022-06-01 06:50:00,748.5,2370.0,3.77344,49.9679,219.516,775.0,-310.0,3.85938,49.9653,222.562,805.0,-298.0,4.00781,49.9666,221.953,790.0,-411.0
2022-06-01 06:55:00,748.375,2518.0,3.99219,49.9621,221.156,821.0,-310.0,4.08594,49.9626,223.797,856.0,-289.0,4.22656,49.965,224.094,841.0,-412.0
2022-06-01 07:00:00,749.0,2584.0,4.10938,49.9694,219.484,852.0,-301.0,4.1875,49.9674,222.516,879.0,-290.0,4.28125,49.9684,221.578,853.0,-415.0
2022-06-01 07:05:00,748.938,2528.0,4.03125,50.0309,217.094,826.0,-314.0,4.11719,50.0347,219.078,860.0,-294.0,4.27344,50.0289,220.047,842.0,-428.0
2022-06-01 07:10:00,748.875,2098.0,3.44531,50.0005,218.531,688.0,-312.0,3.53125,49.9993,221.516,712.0,-315.0,3.67188,50.0012,221.562,698.0,-410.0
2022-06-01 07:15:00,748.688,2259.0,3.67969,49.9912,219.406,736.0,-320.0,3.79688,49.9863,222.688,775.0,-304.0,3.89062,49.9916,221.562,748.0,-413.0
2022-06-01 07:20:00,748.375,2356.0,3.82031,49.9724,219.594,771.0,-319.0,3.92969,49.9728,222.438,803.0,-312.0,4.04688,49.9755,222.531,782.0,-424.0
2022-06-01 07:25:00,748.938,3265.0,5.17969,49.9708,217.156,1087.0,-329.0,5.23438,49.9724,220.531,1100.0,-338.0,5.29688,49.9721,220.219,1078.0,-451.0
2022-06-01 07:30:00,748.312,5014.0,7.8125,49.9648,216.922,1668.0,-376.0,7.79688,49.9634,220.328,1681.0,-344.0,7.78906,49.9646,220.578,1665.0,-423.0
2022-06-01 07:35:00,748.625,3561.0,5.6875,50.0359,215.203,1181.0,-366.0,5.6875,50.0324,219.375,1209.0,-295.0,5.71094,50.0326,218.656,1171.0,-436.0
2022-06-01 07:40:00,749.062,4725.0,7.3125,50.0313,217.594,1542.0,-396.0,7.45312,50.0347,221.484,1600.0,-325.0,7.51562,50.0346,221.656,1583.0,-457.0
2022-06-01 07:45:00,748.625,11253.0,17.125,50.0358,218.656,3750.0,-368.0,17.0547,50.0374,222.047,3756.0,-359.0,16.9922,50.0373,222.312,3747.0,-417.0
2022-06-01 07:50:00,748.5,22529.0,33.7812,49.98,220.172,7499.0,-476.0,33.6172,49.9773,224.234,7500.0,-461.0,33.6562,49.9792,223.812,7530.0,-495.0
