step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.6,0,0.00016645859342488556,0.0,0.55,0,0.09876541638289704,0.0,0.65,0,0.0,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.5999986014058429,0,0.00016644406132545957,0.0,0.5500271311968701,0,0.09876618354515575,0.0,0.6499985532407407,0,0.0,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.599997202807481,0,0.00016642952922603358,0.0,0.55005426261572,0,0.09876695070741448,0.0,0.6499971064814815,0,0.0,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.5999958042049143,0,0.0001664149971266076,0.0,0.5500813942565497,0,0.09876771786967319,0.0,0.6499956597222222,0,0.0,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.5999944055981427,0,0.00016640046502718164,0.0,0.5501085261193592,0,0.09876848503193192,0.0,0.649994212962963,0,0.0,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.5999930069871661,0,0.00016638593292775565,0.0,0.5501356582041484,0,0.09876925219419064,0.0,0.6499927662037037,0,0.0,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.5999916083719846,0,0.00016637140082832966,0.0,0.5501627905109177,0,0.09877001935644934,0.0,0.6499913194444444,0,0.0,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.5999902097525983,0,0.0001663568687289037,0.0,0.5501899230396666,0,0.09877078651870808,0.0,0.6499898726851852,0,0.0,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.5999888111290071,0,0.0001663423366294777,0.0,0.5502170557903954,0,0.09877155368096678,0.0,0.6499884259259259,0,0.0,0.0
9,0.00025,0.9,0.015000000000000001,0.599987412501211,0,0.0001663278045300517,0.0,0.550244188763104,0,0.09877232084322551,0.0,0.6499869791666666,0,0.0,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.59998601386921,0,0.00016631327243062574,0.0,0.5502713219577925,0,0.09877308800548422,0.0,0.6499855324074073,0,0.0,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.5999846152330041,0,0.00016629874033119975,0.0,0.5502984553744606,0,0.09877385516774295,0.0,0.649984085648148,0,0.0,0.0
