step,time_hours,time_seconds,time_minutes,Explore-Inner_x_m,Explore-Inner_y_m,Explore-Inner_mode,Explore-Inner_charge_station_id,Explore-Mid_x_m,Explore-Mid_y_m,Explore-Mid_mode,Explore-Mid_charge_station_id,Explore-Outer_x_m,Explore-Outer_y_m,Explore-Outer_mode,Explore-Outer_charge_station_id,Drone-3m_x_m,Drone-3m_y_m,Drone-3m_mode,Drone-3m_charge_station_id,Drone-6m_x_m,Drone-6m_y_m,Drone-6m_mode,Drone-6m_charge_station_id,Drone-9m_x_m,Drone-9m_y_m,Drone-9m_mode,Drone-9m_charge_station_id
0,0.0,0.0,0.0,14.2255,8.438,WAIT_PV,-1,9.574,10.3793,WORK,-1,11.3808,0.5958,WORK,-1,7.5943,6.1122,WORK,-1,10.1891,11.6671,WORK,-1,16.532,6.3045,WORK,-1
1,2.777777777777778e-05,0.1,0.0016666666666666668,14.2255,8.438,WAIT_PV,-1,9.474254443703671,10.372170904746318,WORK,-1,11.280806223032716,0.5969156019974962,WORK,-1,7.595641698113207,6.1217379245283015,WORK,-1,10.200161132075472,11.661188679245283,WORK,-1,16.51190867924528,6.306023018867925,WORK,-1
2,5.555555555555556e-05,0.2,0.0033333333333333335,14.2255,8.438,WAIT_PV,-1,9.374508887407343,10.365041809492634,WORK,-1,11.180812446065431,0.5980312039949923,WORK,-1,7.596983396226415,6.131275849056603,WORK,-1,10.211222264150944,11.655277358490565,WORK,-1,16.491817358490568,6.307546037735849,WORK,-1
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,14.2255,8.438,WAIT_PV,-1,9.274763331111014,10.357912714238951,WORK,-1,11.080818669098147,0.5991468059924885,WORK,-1,7.598325094339622,6.140813773584905,WORK,-1,10.222283396226414,11.649366037735849,WORK,-1,16.47172603773585,6.309069056603773,WORK,-1
4,0.00011111111111111112,0.4,0.006666666666666667,14.2255,8.438,WAIT_PV,-1,9.175017774814686,10.350783618985268,WORK,-1,10.980824892130862,0.6002624079899846,WORK,-1,7.59966679245283,6.150351698113207,WORK,-1,10.233344528301886,11.643454716981132,WORK,-1,16.451634716981133,6.310592075471698,WORK,-1
5,0.0001388888888888889,0.5,0.008333333333333333,14.2255,8.438,WAIT_PV,-1,9.075272218518357,10.343654523731585,WORK,-1,10.880831115163577,0.6013780099874808,WORK,-1,7.601008490566038,6.159889622641509,WORK,-1,10.244405660377359,11.637543396226416,WORK,-1,16.431543396226417,6.312115094339623,WORK,-1
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,14.2255,8.438,WAIT_PV,-1,8.975526662222029,10.336525428477902,WORK,-1,10.780837338196292,0.602493611984977,WORK,-1,7.602350188679245,6.1694275471698115,WORK,-1,10.25546679245283,11.631632075471696,WORK,-1,16.411452075471697,6.313638113207547,WORK,-1
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,14.2255,8.438,WAIT_PV,-1,8.8757811059257,10.329396333224219,WORK,-1,10.680843561229008,0.6036092139824731,WORK,-1,7.603691886792452,6.178965471698112,WORK,-1,10.266527924528303,11.62572075471698,WORK,-1,16.39136075471698,6.315161132075472,WORK,-1
8,0.00022222222222222223,0.8,0.013333333333333334,14.2255,8.438,WAIT_PV,-1,8.776035549629372,10.322267237970538,WORK,-1,10.580849784261723,0.6047248159799693,WORK,-1,7.6050335849056605,6.188503396226415,WORK,-1,10.277589056603773,11.619809433962264,WORK,-1,16.371269433962265,6.316684150943397,WORK,-1
9,0.00025,0.9,0.015000000000000001,14.2255,8.438,WAIT_PV,-1,8.67985954984418,10.349656598410654,WORK,-1,10.480856007294438,0.6058404179774655,WORK,-1,7.606375283018868,6.198041320754717,WORK,-1,10.288650188679245,11.613898113207547,WORK,-1,16.35117811320755,6.318207169811321,WORK,-1
10,0.0002777777777777778,1.0,0.016666666666666666,14.2255,8.438,WAIT_PV,-1,8.583683550058987,10.37704595885077,WORK,-1,10.380862230327153,0.6069560199749616,WORK,-1,7.607716981132075,6.207579245283019,WORK,-1,10.299711320754717,11.607986792452829,WORK,-1,16.33108679245283,6.319730188679245,WORK,-1
11,0.00030555555555555555,1.1,0.018333333333333333,14.2255,8.438,WAIT_PV,-1,8.487507550273795,10.404435319290888,WORK,-1,10.280868453359869,0.6080716219724578,WORK,-1,7.609058679245283,6.217117169811321,WORK,-1,10.31077245283019,11.602075471698113,WORK,-1,16.31099547169811,6.32125320754717,WORK,-1
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,14.2255,8.438,WAIT_PV,-1,8.391331550488603,10.431824679731005,WORK,-1,10.180874676392584,0.609187223969954,WORK,-1,7.6104003773584905,6.2266550943396215,WORK,-1,10.321833584905661,11.596164150943396,WORK,-1,16.290904150943398,6.322776226415095,WORK,-1
13,0.00036111111111111115,1.3,0.021666666666666667,14.2255,8.438,WAIT_PV,-1,8.295155550703411,10.459214040171123,WORK,-1,10.0808808994253,0.6103028259674501,WORK,-1,7.611742075471698,6.236193018867924,WORK,-1,10.332894716981132,11.59025283018868,WORK,-1,16.270812830188678,6.324299245283019,WORK,-1
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,14.2255,8.438,WAIT_PV,-1,8.198979550918219,10.486603400611239,WORK,-1,9.980887122458014,0.6114184279649463,WORK,-1,7.613083773584906,6.245730943396226,WORK,-1,10.343955849056604,11.584341509433962,WORK,-1,16.250721509433962,6.325822264150943,WORK,-1
15,0.0004166666666666667,1.5,0.025,14.2255,8.438,WAIT_PV,-1,8.115481487630602,10.541631333765384,WORK,-1,9.88089334549073,0.6125340299624424,WORK,-1,7.614425471698113,6.255268867924528,WORK,-1,10.355016981132076,11.578430188679246,WORK,-1,16.230630188679246,6.327345283018867,WORK,-1
16,0.00044444444444444447,1.6,0.02666666666666667,14.2255,8.438,WAIT_PV,-1,8.031983424342984,10.596659266919527,WORK,-1,9.780899568523445,0.6136496319599385,WORK,-1,7.6157671698113205,6.26480679245283,WORK,-1,10.366078113207548,11.572518867924527,WORK,-1,16.21053886792453,6.328868301886792,WORK,-1
17,0.00047222222222222224,1.7,0.028333333333333332,14.2255,8.438,WAIT_PV,-1,7.948485361055366,10.65168720007367,WORK,-1,9.68090579155616,0.6147652339574345,WORK,-1,7.617108867924529,6.2743447169811315,WORK,-1,10.37713924528302,11.566607547169811,WORK,-1,16.19044754716981,6.330391320754717,WORK,-1
18,0.0005,1.8,0.030000000000000002,14.2255,8.438,WAIT_PV,-1,7.864987297767748,10.706715133227815,WORK,-1,9.581431968535657,0.6250101611746343,WORK,-1,7.618450566037736,6.283882641509433,WORK,-1,10.38820037735849,11.560696226415093,WORK,-1,16.170356226415095,6.331914339622641,WORK,-1
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,14.2255,8.438,WAIT_PV,-1,7.78148923448013,10.761743066381959,WORK,-1,9.481958145515154,0.635255088391834,WORK,-1,7.619792264150943,6.293420566037736,WORK,-1,10.399261509433963,11.554784905660377,WORK,-1,16.150264905660375,6.333437358490566,WORK,-1
20,0.0005555555555555556,2.0,0.03333333333333333,14.2255,8.438,WAIT_PV,-1,7.697991171192513,10.816770999536104,WORK,-1,9.382484322494651,0.6455000156090337,WORK,-1,7.621133962264151,6.302958490566037,WORK,-1,10.410322641509435,11.54887358490566,WORK,-1,16.13017358490566,6.334960377358491,WORK,-1
21,0.0005833333333333334,2.1,0.035,14.2255,8.438,WAIT_PV,-1,7.668531678184317,10.912333221526282,WORK,-1,9.283010499474148,0.6557449428262334,WORK,-1,7.622475660377359,6.31249641509434,WORK,-1,10.421383773584907,11.542962264150944,WORK,-1,16.110082264150943,6.336483396226415,WORK,-1
