step,time_hours,time_seconds,time_minutes,Explore-Inner_P_load_kW,Explore-Inner_P_pv_kW,Explore-Inner_P_station_used_kW,Explore-Inner_P_bat_kW,Explore-Inner_unmet_kW,Explore-Mid_P_load_kW,Explore-Mid_P_pv_kW,Explore-Mid_P_station_used_kW,Explore-Mid_P_bat_kW,Explore-Mid_unmet_kW,Explore-Outer_P_load_kW,Explore-Outer_P_pv_kW,Explore-Outer_P_station_used_kW,Explore-Outer_P_bat_kW,Explore-Outer_unmet_kW,Drone-3m_P_load_kW,Drone-3m_P_pv_kW,Drone-3m_P_station_used_kW,Drone-3m_P_bat_kW,Drone-3m_unmet_kW,Drone-6m_P_load_kW,Drone-6m_P_pv_kW,Drone-6m_P_station_used_kW,Drone-6m_P_bat_kW,Drone-6m_unmet_kW,Drone-9m_P_load_kW,Drone-9m_P_pv_kW,Drone-9m_P_station_used_kW,Drone-9m_P_bat_kW,Drone-9m_unmet_kW
0,0.0,0.0,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
9,0.00025,0.9,0.015000000000000001,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.02,0.0,0.0,0.02,0.0,0.21291000000000002,0.0,0.0,0.21291000000000002,0.0,0.21291000000000002,0.0,0.0,0.21291000000000002,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0,0.012010000000000002,0.0,0.0,0.012010000000000002,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.02,0.0,0.0,0.02,0.0,0.21291000000000002,0.0,0.0,0.21291000000000002,0.0,0.21291000000000002,0.0,0.0,0.21291000000000002,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
14,0.0003888888888888889,1.4000000000000001,0.023333333333333334,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
15,0.0004166666666666667,1.5,0.025,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
16,0.00044444444444444447,1.6,0.02666666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.012009999999999998,0.0,0.0,0.012009999999999998,0.0,0.012009999999999998,0.0,0.0,0.012009999999999998,0.0,0.012009999999999998,0.0,0.0,0.012009999999999998,0.0
17,0.00047222222222222224,1.7,0.028333333333333332,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
18,0.0005,1.8,0.030000000000000002,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
19,0.0005277777777777778,1.9000000000000001,0.03166666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
20,0.0005555555555555556,2.0,0.03333333333333333,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
21,0.0005833333333333334,2.1,0.035,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
22,0.0006111111111111111,2.2,0.03666666666666667,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
23,0.0006388888888888889,2.3000000000000003,0.03833333333333334,0.02,0.0,0.0,0.02,0.0,0.21291,0.0,0.0,0.21291,0.0,0.21291,0.0,0.0,0.21291,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0,0.01201,0.0,0.0,0.01201,0.0
