step,time_hours,time_seconds,time_minutes,S0_soc,S0_queue,S0_renewable_in_kW,S0_wireless_out_kW,S1_soc,S1_queue,S1_renewable_in_kW,S1_wireless_out_kW,S2_soc,S2_queue,S2_renewable_in_kW,S2_wireless_out_kW
0,0.0,0.0,0.0,0.4,0,0.09070601542219052,0.0,0.4,0,0.13599067604124238,0.0,0.4,0,0.07727124073077385,0.0
1,2.777777777777778e-05,0.1,0.0016666666666666668,0.4000247991942773,0,0.09070513246555645,0.0,0.4000379023946879,0,0.13599121680418844,0.0,0.40002091181734106,0,0.07727041922899308,0.0
2,5.555555555555556e-05,0.2,0.0033333333333333335,0.4000495981330694,0,0.09070424950892238,0.0,0.40007580494584655,0,0.1359917575671345,0.0,0.40004182339697913,0,0.07726959772721233,0.0
3,8.333333333333334e-05,0.30000000000000004,0.005000000000000001,0.40007439681637635,0,0.0907033665522883,0.0,0.4001137076534759,0,0.13599229833008056,0.0,0.40006273473891407,0,0.07726877622543157,0.0
4,0.00011111111111111112,0.4,0.006666666666666667,0.40009919524419824,0,0.09070248359565425,0.0,0.4001516105175761,0,0.13599283909302662,0.0,0.400083645843146,0,0.07726795472365082,0.0
5,0.0001388888888888889,0.5,0.008333333333333333,0.40012399341653493,0,0.09070160063902018,0.0,0.40018951353814697,0,0.13599337985597268,0.0,0.4001045567096748,0,0.07726713322187008,0.0
6,0.0001666666666666667,0.6000000000000001,0.010000000000000002,0.40014879133338654,0,0.09070071768238609,0.0,0.40022741671518863,0,0.13599392061891877,0.0,0.4001254673385006,0,0.07726631172008933,0.0
7,0.00019444444444444446,0.7000000000000001,0.011666666666666667,0.40017358899475297,0,0.09069983472575203,0.0,0.4002653200487011,0,0.13599446138186483,0.0,0.40014637772962325,0,0.07726549021830856,0.0
8,0.00022222222222222223,0.8,0.013333333333333334,0.40019838640063427,0,0.09069895176911796,0.0,0.40030322353868425,0,0.13599500214481086,0.0,0.40016728788304295,0,0.0772646687165278,0.0
9,0.00025,0.9,0.015000000000000001,0.40022318355103037,0,0.09069806881248389,0.0,0.40034112718513815,0,0.13599554290775695,0.0,0.4001881977987595,0,0.07726384721474705,0.0
10,0.0002777777777777778,1.0,0.016666666666666666,0.40024798044594145,0,0.09069718585584982,0.0,0.4003790309880628,0,0.135996083670703,0.0,0.400209107476773,0,0.0772630257129663,0.0
11,0.00030555555555555555,1.1,0.018333333333333333,0.4002727770853673,0,0.09069630289921576,0.0,0.4004169349474583,0,0.1359966244336491,0.0,0.4002300169170835,0,0.07726220421118554,0.0
12,0.0003333333333333334,1.2000000000000002,0.020000000000000004,0.40029757346930805,0,0.09069541994258169,0.0,0.40045483906332446,0,0.13599716519659516,0.0,0.40025092611969093,0,0.07726138270940479,0.0
13,0.00036111111111111115,1.3,0.021666666666666667,0.4003223695977637,0,0.09069453698594762,0.0,0.4004927433356614,0,0.1359977059595412,0.0,0.40027183508459524,0,0.07726056120762403,0.0
